City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
125,Marrakesh,MA,80.67,clear sky,31.6315,-8.0083,Les Jardins de La Koutoubia
129,Pulivendla,IN,89.58,overcast clouds,14.4167,78.2333,Kothabalaji
130,Winneba,GH,81.72,broken clouds,5.3511,-0.6231,Windy Lodge & Beach Resort
131,Natal,BR,88.45,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
134,George Town,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
138,Maceio,BR,87.24,clear sky,-9.6658,-35.7353,Hotel Ponta Verde Maceió
141,Kano,NG,89.28,broken clouds,12.0001,8.5167,Royal Tropicana Hotel
142,Cockburn Town,TC,80.56,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
144,La Asuncion,VE,85.73,overcast clouds,11.0333,-63.8628,Colinas de Matasiete
148,Ahmadpur Sial,PK,83.52,clear sky,30.6754,71.7483,Khan Mobile Shop
149,Paracatu,BR,82.02,overcast clouds,-17.2222,-46.8747,Hotel Paracatu Plaza
150,Sambava,MG,77.32,light rain,-14.2667,50.1667,Melrose
151,Pandaria,IN,85.87,overcast clouds,22.2333,81.4167,Sonu Rajak
153,Senador Jose Porfirio,BR,81.21,overcast clouds,-2.5908,-51.9542,Pousada Novo Horizonte
154,Banda Aceh,ID,80.73,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
158,Aquiraz,BR,86.09,overcast clouds,-3.9014,-38.3911,Pousada Rua Camurupim
160,Sao Domingos,BR,83.53,overcast clouds,-13.3983,-46.3183,Hotel e Restaurante Uirapuru (Márcio uirapuru )Em São Domingos -Go
162,Narasannapeta,IN,83.19,overcast clouds,18.4167,84.05,AVK events and catering
163,Sabya,SA,83.82,clear sky,17.1495,42.6254,Aseel Hotel Apartment
171,Caravelas,BR,76.44,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
177,The Valley,AI,84.06,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
178,Sao Jose Da Coroa Grande,BR,82.85,clear sky,-8.8978,-35.1478,Crôa Mares Hotel
179,Pimentel,PE,75.49,clear sky,-6.8367,-79.9342,Hotel Puerto del Sol
180,Sinnamary,GF,81.75,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
182,Sao Gabriel Da Cachoeira,BR,75.27,overcast clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
184,Eusebio,BR,85.86,few clouds,-3.89,-38.4506,CONDOMINIO GRAN CLASSIC
186,Hithadhoo,MV,83.25,broken clouds,-0.6,73.0833,Scoop Guest House
190,Harindanga,IN,81.5,scattered clouds,22.0383,88.3214,Hasanur Builders
195,Oistins,BB,84.29,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
199,Saint-Philippe,RE,76.59,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
201,Minab,IR,80.92,overcast clouds,27.1467,57.0801,Bam campground
203,Cayenne,GF,84.24,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
207,Chiredzi,ZW,78.73,overcast clouds,-21.05,31.6667,Clevers Hotel Chiredzi
210,Inhambane,MZ,80.58,few clouds,-23.865,35.3833,Oceano
213,Ugoofaaru,MV,84.27,few clouds,5.6667,73.0,Ungoofaaru Inn
222,Iaciara,BR,84.97,overcast clouds,-14.0958,-46.6317,Hotel Matinha
223,Bonthe,SL,80.28,few clouds,7.5264,-12.505,Bonthe Holiday Village
226,Alanje,PA,89.46,few clouds,8.4,-82.55,Casa
232,General Roca,AR,79.02,clear sky,-39.0333,-67.5833,Hotel El Recreo
234,Saint-Pierre,RE,76.68,few clouds,-21.3393,55.4781,Lindsey Hôtel
235,Quatre Cocos,MU,75.31,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
239,Sao Joao Da Barra,BR,75.29,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
243,Jalu,LY,84.74,overcast clouds,29.0331,21.5482,صاحبة الفخامة
246,Jaora,IN,84.43,clear sky,23.6333,75.1333,Hotel celebration
251,Amarwara,IN,82.89,clear sky,22.3,79.1667,Prasiya Chat Bhandaar Amareara
252,Mabaruma,GY,84.29,broken clouds,8.2,-59.7833,Monty Brooms Guest House
258,Soyo,AO,78.82,overcast clouds,-6.1349,12.3689,Hotel Mpampa
267,Anloga,GH,83.35,few clouds,5.7947,0.8973,Pin Drop Hotel
269,Carutapera,BR,79.65,moderate rain,-1.195,-46.02,Lidera
271,Jawhar,SO,80.35,clear sky,2.7809,45.5005,hantiwadaag village part one
278,Santa Cruz,BO,80.65,few clouds,-17.8,-63.1667,Aviador Hotel Boutique
279,Mandera,KE,83.43,overcast clouds,3.9366,41.867,Hiren Hotel Mandera
285,Matara,LK,79.47,clear sky,5.9485,80.5353,Amaloh Boutique Resort
286,Benjamin Aceval,PY,77.59,clear sky,-24.9667,-57.5667,Escuela Agrícola y Hotel Cerrito
290,Tutoia,BR,82.6,overcast clouds,-2.7619,-42.2744,Pousada Guará's
292,Kudahuvadhoo,MV,84.13,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
296,Doha,QA,89.58,clear sky,25.2867,51.5333,Movenpick Hotel Doha
299,Pedro Ii,BR,76.73,overcast clouds,-4.4247,-41.4586,Opala Hotel
301,Sainte-Suzanne,RE,77.22,light rain,-20.9061,55.6089,Gites Ango
302,Funadhoo,MV,84.22,few clouds,6.15,73.2667,Dhaffalhu Tourist Lodge
308,Domoni,KM,81.01,overcast clouds,-12.2569,44.5319,Al Djadid
