City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
205,Ziarat,30.3823,67.7282,64.22,9,31,1.97,PK,2022-04-06 04:10:01
206,Kontagora,10.3999,5.4695,80.17,55,99,4.47,NG,2022-04-06 04:10:03
207,Namibe,-15.1961,12.1522,69.82,80,13,4.12,AO,2022-04-06 04:10:03
208,Koutselion,39.5889,20.9142,38.32,100,91,1.14,GR,2022-04-06 04:10:05
209,Provideniya,64.3833,-173.3,10.51,67,0,18.01,RU,2022-04-06 04:10:05
210,Lorengau,-2.0226,147.2712,80.29,83,100,12.37,PG,2022-04-06 04:10:06
211,Buin,-33.7333,-70.75,71.87,42,0,1.03,CL,2022-04-06 04:07:44
212,Half Moon Bay,37.4636,-122.4286,61.11,67,0,18.41,US,2022-04-06 04:07:04
213,Yerbogachen,61.2767,108.0108,29.93,73,87,8.75,RU,2022-04-06 04:10:07
214,Mount Gambier,-37.8333,140.7667,64.8,54,36,10.87,AU,2022-04-06 04:05:44
215,Jatibonico,21.9419,-79.17,75.69,86,0,3.47,CU,2022-04-06 04:10:08
216,Acarau,-2.8856,-40.12,75.7,88,86,7.02,BR,2022-04-06 04:10:08
217,Strezhevoy,60.7333,77.5889,33.8,82,100,16.02,RU,2022-04-06 04:10:09
218,Ulaanbaatar,47.9077,106.8832,50.13,29,20,4.47,MN,2022-04-06 04:05:47
219,Yakima,46.4665,-120.6678,44.04,54,0,5.75,US,2022-04-06 04:10:09
220,Ylivieska,64.0833,24.55,27.88,93,100,7.58,FI,2022-04-06 04:10:10
221,Gao,16.6362,1.637,84.45,7,11,9.6,ML,2022-04-06 04:10:11
222,Vila Franca Do Campo,37.7167,-25.4333,54.01,86,56,5.48,PT,2022-04-06 04:10:12
223,Zabol,32.25,67.25,67.42,13,1,1.7,AF,2022-04-06 04:10:12
224,Puerto Del Rosario,28.5004,-13.8627,58.75,63,0,6.91,ES,2022-04-06 04:10:13
225,Visnes,59.3556,5.2242,36.82,55,100,5.75,NO,2022-04-06 04:10:13
226,Clyde River,70.4692,-68.5914,-7.19,86,1,3.15,CA,2022-04-06 04:10:14
227,Zabid,14.1951,43.3152,82.02,48,0,1.23,YE,2022-04-06 04:10:14
228,Vawkavysk,53.1561,24.4513,32.99,98,100,11.43,BY,2022-04-06 04:10:15
229,Cockburn Town,21.4612,-71.1419,78.3,76,0,18.59,TC,2022-04-06 04:10:45
230,Jumla,29.2747,82.1838,69.46,14,14,4.81,NP,2022-04-06 04:10:46
231,Pangnirtung,66.1451,-65.7125,-0.26,84,80,4.88,CA,2022-04-06 04:10:46
232,Vredendal,-31.6683,18.5012,62.1,65,81,5.53,ZA,2022-04-06 04:10:47
233,Dawlatabad,36.4141,64.9053,72.3,34,89,8.55,AF,2022-04-06 04:10:48
234,Cervo,43.6702,-7.4101,44.85,79,5,3.62,ES,2022-04-06 04:10:48
235,Saint-Denis,48.9167,2.3333,48.36,79,100,10.36,FR,2022-04-06 04:10:48
236,Samarai,-10.6167,150.6667,84.29,71,100,17.87,PG,2022-04-06 04:10:49
237,Huaicheng,23.9051,112.1931,82.65,41,11,1.54,CN,2022-04-06 04:10:50
238,Quatre Cocos,-20.2078,57.7625,81.09,83,100,12.3,MU,2022-04-06 04:10:50
239,Sao Jose Da Coroa Grande,-8.8978,-35.1478,76.87,85,89,3.49,BR,2022-04-06 04:10:51
240,Katsuura,35.1333,140.3,63.41,59,100,15.17,JP,2022-04-06 04:10:51
241,Mitsamiouli,-11.3847,43.2844,81.28,74,3,6.11,KM,2022-04-06 04:10:52
242,Yabelo,4.8833,38.0833,61.38,58,10,6.11,ET,2022-04-06 04:10:52
243,Dingle,10.9995,122.6711,84.99,69,100,13.31,PH,2022-04-06 04:10:53
